ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
172 0.307057870264893 1.69621 4.76481 52.94786 4.76623 52.96308 1670 37.94
173 0.19923035013238 1.69621 4.76623 52.96308 4.76481 52.94786 1670 39.2
90 0.200054914259262 5.86052 4.76098 52.61019 4.78949 52.65993 1670 39.379
166 0.473868668357 3.36568 4.76098 52.61019 4.7255 52.63138 1670 38.328
176 0.638151841227559 1.25915 4.76098 52.61019 4.75309 52.62044 1670 39.364
177 0.359606119849974 3.63571 4.76098 52.61019 4.7073 52.61081 1670 39.312
178 0.48547837829393 1.03405 4.76098 52.61019 4.75065 52.60335 1670 39.2
179 0.105829634862166 3.28308 5.05378 52.64995 5.01129 52.63572 1670 38.115
2995 0.330924447625018 7.06018 5.05378 52.64995 5.07119 52.71252 1670 26.372
748 0.977287802042361 0.69074 4.95692 52.3416 4.94742 52.34376 1670 39.172
751 0.043588665497404 1.18781 4.95353 52.33392 4.97002 52.33046 1670 39.252
750 0.106526638884822 1.90012 4.91216 52.34428 4.88746 52.33636 1670 38.143
752 0.391060844846171 1.9701 4.96044 52.32436 4.93535 52.33315 1670 38.395
829 0 4.71879 4.88746 52.33636 4.94457 52.31239 1670 26.38
833 0.448836805332325 0.78694 4.98797 52.29628 4.97643 52.29631 1670 39.179
